2025/8/6 11:6:24 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:24 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:24 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:24 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:24 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:25 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:26 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:26 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:26 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:26 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:26 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:39 Code (196614): No response from controller after 3 retries.
2025/8/6 11:6:49 Code (196614): No response from controller after 3 retries.
2025/8/6 11:6:59 Code (196614): No response from controller after 3 retries.
2025/8/6 11:7:9 Code (196614): No response from controller after 3 retries.
2025/8/6 11:7:19 Code (196614): No response from controller after 3 retries.
2025/8/6 11:7:30 Code (196614): No response from controller after 3 retries.
2025/8/6 11:7:40 Code (196614): No response from controller after 3 retries.
2025/8/6 11:7:50 Code (196614): No response from controller after 3 retries.
2025/8/6 11:8:0 Code (196614): No response from controller after 3 retries.
